id,value
entity,
entity.ORG,
entity.ORG.EU,5
entity.ORG.Brexit,1
entity.ORG.the European Commission,1
entity.ORG.European Council,1
entity.DATE,
entity.DATE.November,2
entity.DATE.the end of the year,1
entity.DATE.the last few days,1
entity.DATE.the end of 2018,1
entity.DATE.29 March 2019,1
entity.DATE.11 days',1
entity.DATE.Friday,1
entity.DATE.October,1
entity.DATE.17 October,1
entity.DATE.recent days,1
entity.PERSON,
entity.PERSON.Juncker,3
entity.PERSON.Jean-Claude Juncker,1
entity.PERSON.Donald Tusk,1
entity.PERSON.Speaking,1
entity.GPE,
entity.GPE.UK,4
entity.NORP,
entity.NORP.Irish,1
entity.NORP.Austrian,1
entity.NORP.European,1
entity.NORP.British,1
